county_fips,county_name,state_name,date,county_vmt,baseline_jan_vmt,percent_change_from_jan,mean7_county_vmt,mean7_percent_change_from_jan,date_at_low,mean7_county_vmt_at_low,percent_change_from_low
48157,Fort Bend,Texas,3/11/20,47400000,34875882,35.91,52985714.29,51.93,4/10/20,7191428.57,636.79
48157,Fort Bend,Texas,3/12/20,50200000,34875882,43.94,52728571.43,51.19,4/10/20,7191428.57,633.21
48157,Fort Bend,Texas,3/13/20,49800000,34875882,42.79,51471428.57,47.58,4/10/20,7191428.57,615.73
48157,Fort Bend,Texas,3/10/20,43200000,34875882,23.87,51214285.71,46.85,4/10/20,7191428.57,612.16
48157,Fort Bend,Texas,3/9/20,45700000,34875882,31.04,49657142.86,42.38,4/10/20,7191428.57,590.5
48157,Fort Bend,Texas,3/14/20,42600000,34875882,22.15,47885714.29,37.3,4/10/20,7191428.57,565.87
48157,Fort Bend,Texas,3/8/20,56300000,34875882,61.43,47814285.71,37.1,4/10/20,7191428.57,564.88
48157,Fort Bend,Texas,3/7/20,67700000,34875882,94.12,45000000,29.03,4/10/20,7191428.57,525.74
48157,Fort Bend,Texas,3/15/20,31100000,34875882,-10.83,44285714.29,26.98,4/10/20,7191428.57,515.81
48157,Fort Bend,Texas,3/16/20,21300000,34875882,-38.93,40800000,16.99,4/10/20,7191428.57,467.34
48157,Fort Bend,Texas,3/17/20,18300000,34875882,-47.53,37242857.14,6.79,4/10/20,7191428.57,417.88
48167,Galveston,Texas,3/12/20,29400000,19131266,53.68,30100000,57.33,4/9/20,5825714.29,416.67
48339,Montgomery,Texas,3/12/20,61700000,41917785,47.19,62942857.14,50.16,4/8/20,12334285.71,410.31
48167,Galveston,Texas,3/11/20,27500000,19131266,43.74,29471428.57,54.05,4/9/20,5825714.29,405.89
48167,Galveston,Texas,3/13/20,28800000,19131266,50.54,29328571.43,53.3,4/9/20,5825714.29,403.43
48339,Montgomery,Texas,3/11/20,57900000,41917785,38.13,62085714.29,48.11,4/8/20,12334285.71,403.36
48339,Montgomery,Texas,3/13/20,63400000,41917785,51.25,60742857.14,44.91,4/8/20,12334285.71,392.47
48339,Montgomery,Texas,3/10/20,51800000,41917785,23.58,60228571.43,43.68,4/8/20,12334285.71,388.3
48167,Galveston,Texas,3/10/20,27600000,19131266,44.27,28371428.57,48.3,4/9/20,5825714.29,387
48339,Montgomery,Texas,3/9/20,52700000,41917785,25.72,58914285.71,40.55,4/8/20,12334285.71,377.65
48167,Galveston,Texas,3/14/20,23700000,19131266,23.88,27342857.14,42.92,4/9/20,5825714.29,369.35
48167,Galveston,Texas,3/9/20,23900000,19131266,24.93,27200000,42.18,4/9/20,5825714.29,366.9
48339,Montgomery,Texas,3/8/20,62100000,41917785,48.15,57528571.43,37.24,4/8/20,12334285.71,366.41
48339,Montgomery,Texas,3/14/20,49800000,41917785,18.8,57057142.86,36.12,4/8/20,12334285.71,362.59
48201,Harris,Texas,3/12/20,271000000,208292804,30.11,281428571.43,35.11,4/10/20,61714285.71,356.02
48157,Fort Bend,Texas,3/18/20,15300000,34875882,-56.13,32657142.86,-6.36,4/10/20,7191428.57,354.11
48201,Harris,Texas,3/11/20,269000000,208292804,29.15,279285714.29,34.08,4/10/20,61714285.71,352.55
48167,Galveston,Texas,3/8/20,30500000,19131266,59.42,26300000,37.47,4/9/20,5825714.29,351.45
48039,Brazoria,Texas,3/12/20,27000000,19953830,35.31,28928571.43,44.98,4/8/20,6410000,351.3
48201,Harris,Texas,3/13/20,297000000,208292804,42.59,277857142.86,33.4,4/10/20,61714285.71,350.23
